year;id;study;t1;t2;effect;se
2008.6;51;51;ZIP;PBO;-0.3;0.12
2008.5;120;120;QUE;PBO;-0.25;0.13
2008.7;135;135;RIS;HAL;-0.04;0.12
2008;164;164;OLA;QUE;0.16;0.28
2008;164;164;OLA;RIS;-0.14;0.28
2008;164;164;QUE;RIS;-0.27;0.28
2008.1;198;198;pal;PBO;-0.32;0.2
2009;62;62;ARI;OLA;0.23;0.08
2009;67;67;HAL;PBO;-0.67;0.19
2009;74;74;OLA;ZIP;-0.19;0.24
2009;78;78;ARI;OLA;0.62;0.33
2009;78;78;ARI;QUE;0.38;0.32
2009;78;78;ARI;RIS;0.23;0.31
2009;78;78;OLA;QUE;-0.17;0.33
2009;78;78;OLA;RIS;-0.34;0.33
2009;78;78;QUE;RIS;-0.15;0.32
2009;101;101;ARI;OLA;0.21;0.08
2009;161;161;AMI;RIS;-0.03;0.45
2010.3;16;16;AMI;OLA;0.61;0.23
2010;32;32;OLA;RIS;0.03;0.24
2010.5;100;100;ASE;HAL;-0.02;0.12
2010.5;100;100;ASE;PBO;-0.33;0.11
2010.5;100;100;HAL;PBO;-0.3;0.13
2010.8;165;165;ASE;OLA;0.06;0.07
2010;212;212;QUE;PBO;-0.13;0.11
2011;211;211;CLO;HAL;-1.42;0.4
2011;211;211;CLO;RIS;-0.67;0.36
2011;211;211;RIS;HAL;-0.72;0.37
2011;213;213;OLA;PBO;-0.25;0.16
2012;217;217;RIS;PBO;-0.51;0.15
2009;80;80;ASE;OLA;0.17;0.12
2009;80;80;ASE;PBO;-0.18;0.12
2009;80;80;OLA;PBO;-0.34;0.14
2009;81;81;ASE;OLA;0.22;0.15
2009;81;81;ASE;PBO;0.21;0.15
2009;81;81;OLA;PBO;-0.02;0.15
2010;92;92;OLA;PBO;-0.74;0.17
2010;92;92;pal;PBO;-0.69;0.12
2010;92;92;pal;OLA;0.04;0.17
2003;93;93;OLA;RIS;0;0.15
2010;94;94;pal;PBO;-0.34;0.12
2011;95;95;pal;PBO;-0.49;0.13
2011;96;96;pal;PBO;-0.13;0.17
2012;122;122;OLA;SER;-0.23;0.1
2012;176;176;LURA;PBO;-0.58;0.18
2015;177;177;HAL;PBO;-0.19;0.17
2015;177;177;LURA;HAL;0.28;0.15
2015;177;177;LURA;PBO;0.09;0.15
1998;178;178;ZIP;HAL;0.29;0.14
1998;178;178;HAL;PBO;-0.58;0.16
1998;178;178;ZIP;PBO;-0.38;0.14
2009;179;179;LURA;PBO;-0.41;0.15
2013;180;180;LURA;PBO;-0.2;0.1
2011;181;181;LURA;OLA;0.16;0.11
2011;181;181;LURA;PBO;-0.23;0.11
2011;181;181;OLA;PBO;-0.42;0.13
2013;182;182;LURA;PBO;-0.7;0.11
2013;182;182;LURA;QUE;0.17;0.11
2013;182;182;QUE;PBO;-0.89;0.14
2008.5;183;183;HAL;PBO;-0.37;0.13
2008.5;183;183;ILO;HAL;0.19;0.13
2008.5;183;183;ILO;PBO;-0.2;0.13
2009;184;184;ILO;HAL;0.02;0.1
2009;185;185;ILO;HAL;0.08;0.1
2009;186;186;ILO;HAL;0.04;0.1
2008.5;187;187;ILO;PBO;-0.34;0.12
2008.5;187;187;ILO;RIS;0.25;0.12
